순번,지역,열린관광지명,주소,비고
76,경상권,부산 해운대해수욕장,부산광역시 해운대구 해운대해변로 264 (우동),앱 데이터에 없음 — 신규 추가 필요
79,경상권,고령 대가야 역사테마파크,경상북도 고령군 대가야읍 대가야로 1216,앱 데이터에 없음 — 신규 추가 필요
82,경상권,산청 전통한방 휴양관광지,경상남도 산청군 금서면 동의보감로555번길 45-6,앱 데이터에 없음 — 신규 추가 필요
88,경상권,거제 수협효시공원,경상남도 거제시 사등면 가조서로 7,앱 데이터에 없음 — 신규 추가 필요
89,경상권,거제 칠천량해전공원,경상남도 거제시 하청면 칠천로 265-39,앱 데이터에 없음 — 신규 추가 필요
91,경상권,통영 케이블카,경상남도 통영시 발개로 205,앱 데이터에 없음 — 신규 추가 필요
92,강원권,춘천 박사마을 어린이 글램핑장,강원도 춘천시 서면 박사로 770,앱 데이터에 없음 — 신규 추가 필요
94,강원권,춘천 의암호 킹카누,강원도 춘천시 송앙동 684 (송암동),앱 데이터에 없음 — 신규 추가 필요
96,강원권,횡성 호수길 5구간,강원도 횡성군 갑천면 구방리 512(태기로 구방5길 40),앱 데이터에 없음 — 신규 추가 필요
97,강원권,횡성 유현문화관광지,강원도 횡성군 서원면 경강로유현1길 50,앱 데이터에 없음 — 신규 추가 필요
100,강원권,강릉 연곡해변캠핑장,강원도 강릉시 연곡면 해안로 1282,앱 데이터에 없음 — 신규 추가 필요
102,강원권,강릉 허균?허난설헌 기념공원,강원도 강릉시 난설헌로193번길 1-16 (초당동),앱 데이터에 없음 — 신규 추가 필요
103,강원권,강릉 커피거리,강원도 강릉시 창해로14번길 20-1,앱 데이터에 없음 — 신규 추가 필요
104,강원권,강릉 통일공원,강원도 강릉시 강동면 율곡로 1616,앱 데이터에 없음 — 신규 추가 필요
106,강원권,강릉 정동진 모래시계공원,강원도 강릉시 강동면 헌화로 990-1,앱 데이터에 없음 — 신규 추가 필요
107,강원권,동해 망상해수욕장,강원도 동해시 동해대로 6270-10 (망상동),앱 데이터에 없음 — 신규 추가 필요
111,제주권,제주 붉은 오름 자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,앱 데이터에 없음 — 신규 추가 필요
