도시,장소명(한국어),장소명(영문),분류,위도,경도,UNESCO,한국관광100선,권장체류(분),운영시간,설명
,충주 시내 호텔,Chungju city hotels,,36.9700,127.9310,,,,,
,충주호·수안보 온천 숙소,Chungjuho & Suanbo stays,,36.9930,128.0290,,,,,
,동대구역 권역 호텔,Dongdaegu Station hotels,,35.8797,128.6286,,,,,
,중앙로·동성로 숙소,Jungang-ro & Dongseong-ro stays,,35.8690,128.5950,,,,,
,한옥마을 한옥스테이,Hanok Village stays,,35.8175,127.1520,,,,,
,전주역 권역 호텔,Jeonju Station hotels,,35.8497,127.1608,,,,,
,경포해변 리조트,Gyeongpo Beach resorts,,37.8040,128.9060,,,,,
,안목해변 스테이,Anmok Beach stays,,37.7731,128.9470,,,,,
,여수엑스포 권역 호텔,Yeosu Expo area hotels,,34.7480,127.7480,,,,,
,돌산 펜션,Dolsan pensions,,34.7320,127.7420,,,,,
,강구안 시내 숙소,Gangguan town stays,,34.8470,128.4240,,,,,
,도남관광지 리조트,Donam resort area,,34.8280,128.4250,,,,,
,속초해변 리조트,Sokcho Beach resorts,,38.1906,128.6035,,,,,
,설악동 콘도·펜션,Seorak-dong condos,,38.1730,128.4930,,,,,
,갈말·동송 시내 숙소,Galmal & Dongsong stays,,38.1461,127.3128,,,,,
,한탄강 권역 펜션,Hantan River pensions,,38.1850,127.2880,,,,,
,하회마을 고택 스테이,Hahoe hanok stays,,36.5667,128.7289,,,,,
,안동 시내 호텔,Andong city hotels,,36.5640,128.7250,,,,,
,개항장·차이나타운 스테이,Open Port & Chinatown stays,,37.4750,126.6180,,,,,
,송도 센트럴파크 호텔,Songdo Central Park hotels,,37.3935,126.6349,,,,,
,진주성 권역 숙소,Jinjuseong area stays,,35.1890,128.0800,,,,,
,진주역 권역 호텔,Jinju Station hotels,,35.1637,128.1174,,,,,
,국가정원 권역 호텔,National Garden hotels,,34.9284,127.4983,,,,,
,순천역 권역 숙소,Suncheon Station stays,,34.9464,127.4903,,,,,
,목포역·근대거리 숙소,Station & Old Town stays,,34.7913,126.3865,,,,,
,평화광장 해변 호텔,Peace Plaza seafront hotels,,34.7800,126.3800,,,,,
,선비촌 한옥 스테이,Seonbichon hanok stays,,36.9278,128.5820,,,,,
,영주 시내 숙소,Yeongju town stays,,36.8340,128.6270,,,,,
,영일대 해변 호텔,Yeongildae Beach hotels,,36.0562,129.3782,,,,,
,포항역 권역 숙소,Pohang Station stays,,36.0453,129.3390,,,,,
,춘천 명동 숙소,Chuncheon downtown stays,,37.8796,127.7284,,,,,
,남이섬·강촌 리조트,Nami Island & Gangchon resorts,,37.7917,127.5255,,,,,
,도동항 권역 숙소,Dodong Port stays,,37.4812,130.9099,,,,,
,나리분지 민박,Nari Basin guesthouses,,37.5184,130.8716,,,,,
,광한루 권역 한옥,Gwanghallu hanok stays,,35.4039,127.3798,,,,,
,남원 시내 숙소,Namwon town stays,,35.4114,127.3900,,,,,
,독일마을 펜션,German Village pensions,,34.7997,128.0386,,,,,
,상주은모래 해변 숙소,Sangju Beach stays,,34.7208,127.9881,,,,,
,해인사 권역 숙소,Haeinsa area stays,,35.8012,128.0981,,,,,
,합천 읍내 숙소,Hapcheon town stays,,35.5666,128.1660,,,,,
,문화전당 권역 호텔,ACC area hotels,,35.1467,126.9203,,,,,
,광주송정역 권역 숙소,Songjeong Station stays,,35.1376,126.7917,,,,,
,천안아산역 권역 호텔,Cheonan-Asan Station hotels,,36.7945,127.1043,,,,,
,천안 시내 숙소,Cheonan downtown stays,,36.8199,127.1560,,,,,
,공산성 권역 한옥,Gongsanseong hanok stays,,36.4646,127.1249,,,,,
,공주 시내 숙소,Gongju town stays,,36.4578,127.1233,,,,,
,부소산 권역 숙소,Busosan area stays,,36.2885,126.9126,,,,,
,백제문화단지 리조트,Baekje Cultural Land resorts,,36.3069,126.9055,,,,,
,근대역사거리 숙소,Old Town stays,,35.9907,126.7120,,,,,
,선유도 펜션,Seonyudo pensions,,35.8164,126.4106,,,,,
,에버랜드 권역 리조트,Everland area resorts,,37.2939,127.2026,,,,,
,민속촌 권역 숙소,Folk Village area stays,,37.2589,127.1181,,,,,
,상남·용지 권역 호텔,Sangnam & Yongji hotels,,35.2310,128.6846,,,,,
,진해 군항 권역 숙소,Jinhae naval port stays,,35.1610,128.6603,,,,,
,일산해변·대왕암 숙소,Ilsan Beach & Daewangam stays,,35.4924,129.4396,,,,,
,태화강 권역 호텔,Taehwagang area hotels,,35.5478,129.2962,,,,,
,안면도 펜션,Anmyeondo pensions,,36.4969,126.3352,,,,,
,만리포 해변 숙소,Mallipo Beach stays,,36.7864,126.1424,,,,,
,두물머리 권역 펜션,Dumulmeori pensions,,37.5347,127.3179,,,,,
,양평 읍내 숙소,Yangpyeong town stays,,37.4893,127.4882,,,,,
,신륵사 권역 숙소,Silleuksa area stays,,37.2975,127.6616,,,,,
,아울렛 권역 호텔,Outlet area hotels,,37.2942,127.6463,,,,,
,자라섬·남이섬 권역 숙소,Jaraseom & Nami stays,,37.8165,127.5286,,,,,
,아침고요 권역 펜션,Morning Calm area pensions,,37.7440,127.3525,,,,,
,통도사 권역 숙소,Tongdosa area stays,,35.4880,129.0643,,,,,
,속리산 권역 숙소,Songnisan area stays,,36.5416,127.8332,,,,,
,대흥사 권역 숙소,Daeheungsa area stays,,34.4760,126.6163,,,,,
,상림 권역 숙소,Sangnim area stays,,35.5240,127.7198,,,,,
,백양사 권역 숙소,Baekyangsa area stays,,35.4395,126.8834,,,,,
,내장산 권역 숙소,Naejangsan area stays,,35.4797,126.8880,,,,,
,탑정호 권역 숙소,Tapjeongho area stays,,36.1808,127.1601,,,,,
,남한산성 권역 숙소,Namhansanseong area stays,,37.4816,127.1848,,,,,
,익산역 권역 호텔,Iksan Station hotels,,35.9619,126.9540,,,,,
,선운사 권역 숙소,Seonunsa area stays,,35.4969,126.5782,,,,,
,화순 읍내 숙소,Hwasun town stays,,35.0620,126.9860,,,,,
,김해 시내 호텔,Gimhae city hotels,,35.2280,128.8890,,,,,
,가야읍 숙소,Gaya-eup stays,,35.2704,128.4051,,,,,
,우포늪 권역 숙소,Upo Wetland stays,,35.5515,128.4120,,,,,
,대가야 권역 숙소,Daegaya area stays,,35.7261,128.2533,,,,,
,상족암 권역 펜션,Sangjogam area pensions,,34.9051,128.1511,,,,,
,국립생태원 권역 숙소,Ecology Institute area stays,,36.0296,126.7248,,,,,
,증도 리조트,Jeungdo resorts,,34.9822,126.1587,,,,,
,율포 해변 숙소,Yulpo Beach stays,,34.6700,127.0900,,,,,
,삼천포항 권역 숙소,Samcheonpo port stays,,34.9337,128.0532,,,,,
,문경새재 권역 숙소,Saejae area stays,,36.7590,128.0730,,,,,
,덕구온천 리조트,Deokgu Hot Spring resorts,,37.0788,129.2833,,,,,
,원주 시내 호텔,Wonju city hotels,,37.3500,127.9492,,,,,
,대관령 리조트,Daegwallyeong resorts,,37.6569,128.6739,,,,,
,헤이리 권역 숙소,Heyri area stays,,37.7888,126.6987,,,,,
,일산호수공원 권역 호텔,Ilsan Lake hotels,,37.6567,126.7663,,,,,
,산정호수 권역 숙소,Sanjeong Lake stays,,38.0706,127.3204,,,,,
,이천 온천 권역 숙소,Icheon spa stays,,37.2766,127.4266,,,,,
,조안면 강변 숙소,Joan riverside stays,,37.5165,127.3009,,,,,
,서피비치 권역 스테이,Surfyy Beach stays,,38.0289,128.7175,,,,,
,삼척해변 숙소,Samcheok Beach stays,,37.4683,129.1692,,,,,
,자작나무숲 권역 숙소,Birch Forest stays,,38.0096,128.1945,,,,,
,태백 시내 숙소,Taebaek town stays,,37.171,128.99,,,,,
,청주 시내 호텔,Cheongju city hotels,,36.639,127.425,,,,,
,청풍호 권역 리조트,Cheongpung Lake resorts,,37.0013,128.1666,,,,,
,단양읍 시내 숙소,Danyang town stays,,36.9825,128.3699,,,,,
,대천해변 리조트,Daecheon Beach resorts,,36.3056,126.5161,,,,,
,온양온천 권역 호텔,Onyang spa hotels,,36.7804,127.0037,,,,,
,죽녹원 권역 숙소,Juknokwon area stays,,35.3266,126.9854,,,,,
,덕유산 리조트,Deogyusan resorts,,35.8606,127.7464,,,,,
,격포항 권역 숙소,Gyeokpo port stays,,35.6248,126.4661,,,,,
,명사십리 권역 숙소,Myeongsasimni stays,,34.3274,126.809,,,,,
,밀양 시내 숙소,Miryang town stays,,35.4915,128.7551,,,,,
,주왕산 권역 숙소,Juwangsan area stays,,36.4024,129.1879,,,,,
,강구항 권역 숙소,Ganggu port stays,,36.366,129.394,,,,,
,구미역 권역 호텔,Gumi Station hotels,,36.129,128.33,,,,,
,세종호수공원 권역 호텔,Sejong Lake hotels,,36.4992,127.2704,,,,,
,수승대 권역 숙소,Suseungdae area stays,,35.7608,127.8330,,,,,
,상주 시내 숙소,Sangju town stays,,36.4150,128.1590,,,,,
,왜목마을 권역 숙소,Waemok area stays,,37.0441,126.5275,,,,,
,해미읍성 권역 숙소,Haemi area stays,,36.7126,126.5486,,,,,
,남당항 권역 숙소,Namdang port stays,,36.5390,126.4698,,,,,
,수덕사 권역 숙소,Sudeoksa area stays,,36.6630,126.6226,,,,,
,화진포 권역 숙소,Hwajinpo area stays,,38.4672,128.4338,,,,,
,불국사,Bulguksa,역사·문화,35.7900,129.3320,Y,Y,90,09:00–18:00 · 문의 054-746-9913,"유네스코 세계유산. 석굴암과 묶어 반나절 코스로 돌며, 주차장 옆에 불국사 관광안내소가 있다."
,대릉원,Daereungwon,역사·문화,35.8382,129.2128,Y,Y,70,"09:00–22:00 (매표 21:30) · 어른 3,000원 · 054-750-8650","신라 왕릉급 고분 23기가 모인 시내 한복판 유적. 천마총 내부가 공개돼 있고, 황리단길과 맞붙어 있다."
,첨성대,Cheomseongdae,역사·문화,35.8347,129.2191,Y,Y,40,상시 개방 (야간 조명),"부채꼴 돌을 27단으로 쌓아 올린 신라 천문대. 돌 개수와 단 수에 의미를 둔 고대 과학의 산물로, 야간 조명이 들어오면 인상이 달라진다."
,국립경주박물관,Gyeongju National Museum,역사·문화,35.8292,129.2279,,,90,10:00–18:00 · 상설전시 무료 · 054-740-7500,"신라 문화유산 상설 전시. 야외 뜰에 범종·석탑·석불 등 석조품 1,100여 점이 놓여 있고, 동궁과 월지에서 도보 10분이다."
,석굴암,Seokguram Grotto,역사·문화,35.7951,129.3489,Y,Y,60,"09:00–18:00 · 어른 6,000원 · 054-746-9933",토함산 동쪽 사면의 석굴 사원. 본존불을 화강암 돔 안에 앉힌 구조로 불국사와 함께 세계유산에 올랐다.
,월정교,Woljeonggyo Bridge,역사·문화,35.8291,129.2173,,,40,상시 개방 · 누각 09:00–22:00 · 무료,남천을 건너던 신라 목교를 복원한 다리. 해가 지면 조명이 들어와 물에 비친다.
,교촌마을,Gyochon Traditional Village,숙박,35.8295,129.2148,,,50,상시 개방 · 무료 · 054-760-7880,경주 최씨 고택과 교동법주가 있는 한옥 마을. 월정교와 붙어 있어 함께 돌기 좋다.
,경주 양남 주상절리,Yangnam Columnar Joints,해양·자연,35.6908,129.4746,,,50,전망대 09:00–18:00 · 무료 · 054-775-6366,부채꼴로 누운 주상절리. 국내에서 드문 수평 배열로 천연기념물이다.
,문무대왕릉,Tomb of King Munmu,해양·자연,35.7395,129.4835,,,40,상시 개방 · 무료 · 054-779-6324,해변에서 200m 떨어진 바위섬 수중릉. 삼국을 통일한 문무왕의 유언에 따라 바다에 묻혔다고 전한다.
,양동마을,Yangdong Folk Village,숙박,35.9995,129.2547,Y,,90,"09:00–18:00 · 어른 4,000원 · 054-762-2630",월성 손씨와 여강 이씨가 500년간 이어온 씨족 마을. 기와집과 초가가 언덕을 따라 앉아 있다.
,경주 엑스포대공원,Gyeongju Expo Park,테마파크·액티비티,35.833,129.2893,,,120,10:00–18:00 · 054-748-3011,경주타워와 솔거미술관이 있는 대형 공원. 보문단지 동쪽 끝에 붙어 있다.
,금관총,Geumgwanchong,역사·문화,35.84112,129.2098,Y,,50,09:00–18:00 · 무료 · 054-777-6100,1921년 신라 금관이 처음 출토된 노서동 고분. 발굴 지점 위에 보호 전시관이 서 있다.
,오릉,Oreung,역사·문화,35.8234,129.2088,,,50,"09:00–18:00 · 어른 2,000원 · 054-750-8614",박혁거세를 비롯한 신라 초기 왕릉 다섯. 담장 안 소나무와 배롱나무가 정연하다.
,감포항,Gampo Port,로컬·먹거리,35.8041,129.5047,,,60,상시 · 공설시장 08:00–19:00,동해안 어항. 공설시장과 해상공원이 붙어 있어 회와 물회를 먹고 걷는다.
,경주 최부자댁,Choi Family House,역사·문화,35.8309,129.2162,,,50,09:00–18:00 · 무료,12대 300년을 이어온 경주 최씨 종가. 사랑채와 곳간이 남아 조선 후기 만석꾼의 살림 규모를 보여준다.
,계림,Gyerim Forest,힐링·생태,35.8326,129.219,Y,,40,상시 개방 · 무료 · 054-779-8743,신라 김씨 시조 김알지의 탄생지로 전하는 숲. 늙은 회화나무와 느티나무가 월성과 첨성대 사이를 잇는다.
,포석정,Poseokjeong,역사·문화,35.807,129.2131,Y,,40,상시 개방 · 무료 · 054-745-8484,전복 모양으로 깎은 돌 수로. 신라 왕실이 물을 돌려 술잔을 띄우고 시를 지은 자리다.
,보문관광단지,Bomun Resort Complex,힐링·생태,35.8428,129.2858,,,60,상시 개방 · 무료,보문호를 둘러싼 숙박·유원 단지. 호반길 7.5km가 벚나무 아래로 이어진다.
,힐튼 경주,Hilton Gyeongju,숙박,35.84,129.286,,,0,체크인 15:00 · 054-745-7788,보문호에 면한 호텔. 신라밀레니엄파크와 같은 부지에 있어 걸어서 오갈 수 있다.
,신라밀레니엄파크,Silla Millennium Park,테마파크·액티비티,35.8389,129.2887,,,150,"10:00–18:00 · 어른 26,000원 · 054-777-7000",신라 왕경을 재현한 테마파크. 공연과 한복 체험이 주 프로그램이다.
,월성,Wolseong Palace Site,역사·문화,35.8309,129.2262,Y,,60,상시 개방 · 무료,신라 왕궁이 있던 반달 모양 토성. 발굴이 진행 중이라 넓은 터와 성벽 능선만 남아 있다.
,천마총,Cheonmachong,역사·문화,35.8386,129.2105,Y,,50,"09:00–22:00 · 어른 3,000원 · 054-743-1925",내부가 공개된 유일한 신라 고분. 천마도 장니와 금관이 나온 자리다.
,봉황대,Bonghwangdae Mound,역사·문화,35.8413,129.2106,Y,,30,상시 개방 · 무료,시내 한복판에 솟은 최대 규모 고분. 정상에 느티나무가 자라 여름 저녁 공연이 열린다.
,황룡사지,Hwangnyongsa Temple Site,역사·문화,35.8388,129.2335,Y,,40,상시 개방 · 무료,9층 목탑이 서 있던 신라 최대 사찰 터. 지금은 주초석만 남아 규모를 짐작하게 한다.
,성동시장,Seongdong Market,로컬·먹거리,35.847,129.2164,,,60,08:00–19:00 · 054-772-4226,경주역 앞 상설시장. 제철 송이와 시장 백반이 강하다.
,중앙시장 야시장,Jungang Market Night Market,로컬·먹거리,35.844,129.2063,,,70,금·토 18:00–23:00 · 054-743-3696,중앙시장 안에서 주말 저녁에만 서는 야시장. 먹거리 노점이 통로를 채운다.
,서출지,Seochulji Pond,힐링·생태,35.7965,129.2419,Y,,40,상시 개방 · 무료,삼국유사 설화가 깃든 연못. 배롱나무가 물가에 늘어져 여름에 붉게 핀다.
,칠불암,Chilbulam Hermitage,역사·문화,35.7785,129.234,Y,,120,일출–일몰 · 무료,남산 자락의 마애불 일곱 구. 주차장에서 30분 남짓 오르막을 걸어야 닿는다.
,감은사지,Gameunsa Temple Site,역사·문화,35.7481,129.4773,,,40,상시 개방 · 무료,문무왕을 기려 세운 절터. 동서 삼층석탑 둘이 나란히 남아 있다.
,경주 동궁원,Gyeongju Donggungwon,테마파크·액티비티,35.85,129.2629,,,90,"09:00–18:00 · 어른 5,000원 · 054-779-8725",신라 동궁 정원을 모티브로 지은 식물원과 버드파크. 실내라 비 오는 날 대안이 된다.
,테디베어박물관,Teddy Bear Museum,테마파크·액티비티,35.8523,129.2753,,,70,"09:00–18:00 · 어른 10,000원 · 054-742-7400",보문단지 안 전시관. 신라 복장을 입은 곰 인형으로 왕경을 재현한 방이 있다.
,민속공예촌,Folk Craft Village,숙박,35.8045,129.3112,,,70,09:00–18:00 · 무료 · 054-746-7270,도자·금속·목공 공방이 모인 마을. 추억의 달동네와 같은 단지에 있다.
,옥산서원,Oksan Seowon,역사·문화,36.0117,129.1633,Y,,60,09:00–18:00 · 무료 · 054-762-6567,회재 이언적을 기리는 조선 서원. 계곡을 등지고 앉아 한국의 서원으로 세계유산에 올랐다.
,외도 보타니아,Oedo Botania,힐링·생태,34.7697,128.7106,,,150,유람선 시간에 따름,섬 전체가 식물원. 구조라·장승포 유람선으로만 들어간다.
,학동 흑진주 몽돌해변,Hakdong Pebble Beach,해양·자연,34.7725,128.6398,,,60,상시 개방,검은 몽돌 해변. 케이블카 하부역사와 가깝다.
,신선대,Sinseondae,해양·자연,34.7379,128.6648,,,40,상시 개방,바람의 언덕 옆 해안 암반 전망대.
,구조라성,Gujora Fortress,역사·문화,34.7999,128.6911,,,50,상시 개방 · 무료,조선 수군이 쌓은 산성. 해변 뒤 능선을 따라 성벽이 남아 구조라항과 외도 방향 바다가 한눈에 든다.
,구조라해수욕장,Gujora Beach,해양·자연,34.8088,128.6906,,,70,상시 개방 · 무료 · 055-639-4178,완만한 백사장이 500m 남짓 이어지는 해변. 외도·해금강 유람선 선착장이 붙어 있다.
,지심도,Jisimdo Island,힐링·생태,34.8215,128.7501,,,240,"장승포항 도선 08:30–17:00 · 왕복 19,000원","동백나무가 섬 전체를 덮어 겨울에 붉게 핀다. 장승포항에서 배로 15분, 일제강점기 포진지가 남아 있다."
,거제 포로수용소 유적공원,Geoje POW Camp Park,역사·문화,34.8756,128.6247,,,110,"09:00–18:00 · 어른 7,000원 · 055-639-8125","한국전쟁 당시 포로 17만 명이 수용된 자리. 잔존 건물과 전시관, 모노레일이 함께 있다."
,여차·홍포 전망대,Yeocha–Hongpo Lookout,해양·자연,34.7038,128.6101,,,40,상시 개방 · 무료,남부면 해안도로 최남단 전망대. 대·중·소병대도가 줄지어 보이는 자리로 일몰이 강하다.
수원,광교호수공원,Gwanggyo Lake Park,힐링·생태,37.2831,127.0659,,,80,상시 개방,원천·신대 두 호수를 잇는 수변 공원.
정선,정선아리랑시장,Jeongseon Arirang Market,로컬·먹거리,37.3908,128.6393,,,70,끝자리 2·7일 장,2·7일에 서는 오일장. 곤드레밥과 메밀전병.
정선,병방치 스카이워크,Byeongbangchi Skywalk,테마파크·액티비티,37.3405,128.627,,,50,09:00–18:00,동강 한반도 지형을 내려다보는 유리 전망대.
대전,한밭수목원,Hanbat Arboretum,힐링·생태,36.3679,127.3878,,,80,09:00–18:00,도심 속 대형 수목원. 빵투어 사이 휴식 코스.
대전,대전 오월드,Daejeon O-World,테마파크·액티비티,36.2923,127.3959,,,180,09:30–18:00,동물원과 놀이공원이 함께 있는 복합 테마파크.
충주,탄금호 무지개길,Tangeum Lake Rainbow Trail,힐링·생태,37.0262,127.858,,,60,상시 개방,탄금호 수변 자전거·보행 길. 중앙탑공원과 이어진다.
충주,수안보온천,Suanbo Hot Springs,힐링·생태,36.8484,127.9865,,,90,업소별 상이,조선시대부터 알려진 온천 지구.
동해,추암 촛대바위,Chuam Candlestick Rock,해양·자연,37.4785,129.1568,,,50,상시 개방,애국가 일출 장면의 해안 기암.
동해,무릉계곡,Mureung Valley,힐링·생태,37.4636,129.0141,,Y,120,입장 08:00–17:00,두타산 아래 계곡. 무릉반석과 용추폭포.
동해,묵호항,Mukho Port,해양·자연,37.5519,129.1152,,,50,상시 개방 · 무료,울릉도 여객선이 드나드는 항구. 등대 언덕에서 항과 동해가 함께 내려다보인다.
동해,동쪽바다중앙시장,East Sea Central Market,로컬·먹거리,37.5515,129.108,,,60,08:00–19:00 · 033-533-4001,"동해 대표 전통시장. 물회와 곰치국, 건어물 좌판이 이어진다."
동해,도째비골 스카이밸리,Dojaebigol Skyvalley,테마파크·액티비티,37.5524,129.1157,,Y,70,10:00–18:00 · 스카이워크 무료 · 자이언트 슬라이드 유료,해발 59m 절벽에 놓인 스카이워크와 슬라이드. 묵호항과 논골담길이 바로 아래다.
동해,천곡황금박쥐동굴,Cheongok Cave,힐링·생태,37.517,129.1107,,,60,"09:00–18:00 · 어른 4,000원 · 033-539-3630",시내 한복판 석회암 동굴. 4억 년 전 지층에 황금박쥐가 서식한다.
동해,한섬해변,Hanseom Beach,해양·자연,37.4925,129.1106,,,50,상시 개방 · 무료,감추사와 이어지는 조용한 해변. 해파랑길 구간으로 산책하기 좋다.
동해,추암해변,Chuam Beach,해양·자연,37.4781,129.1538,,,50,상시 개방 · 무료,촛대바위 앞 해변. 출렁다리와 조각공원이 함께 있다.
대전,엑스포과학공원 한빛탑,Expo Park Hanbit Tower,테마파크·액티비티,36.3747,127.3873,,,70,09:30–18:00 · 전망대 유료,1993년 대전엑스포의 상징탑. 전망대에서 갑천 일대가 보인다.
대전,국립중앙과학관,National Science Museum,테마파크·액티비티,36.3762,127.376,,,110,09:30–17:50 · 월 휴관 · 상설 무료,천체관과 자연사관이 함께 있는 국립 과학관.
대전,계족산 황톳길,Gyejoksan Red Clay Trail,힐링·생태,36.403,127.452,,,120,상시 개방 · 무료,맨발로 걷는 14.5km 황톳길. 숲길이 완만하다.
대전,대청호 오백리길,Daecheongho 500-ri Trail,힐링·생태,36.478,127.483,,,100,상시 개방 · 무료,대청호를 따라 도는 둘레길. 추동 습지 구간이 대표적이다.
대전,으능정이 스카이로드,Eunhaengdong Sky Road,로컬·먹거리,36.3282,127.427,,,60,상시 · 영상 19:00–22:00,길 위 214m LED 스크린이 덮인 번화가. 성심당이 가깝다.
대전,뿌리공원,Ppuri Park,힐링·생태,36.2828,127.4055,,,70,상시 개방 · 무료,성씨 조형물 244기가 놓인 공원. 족보박물관이 함께 있다.
수원,화성행궁,Hwaseong Haenggung,역사·문화,37.2814,127.0126,,,80,09:00–18:00 · 유료,정조가 머물던 행궁. 무예24기 시연이 열린다.
수원,수원화성박물관,Suwon Hwaseong Museum,역사·문화,37.2833,127.0182,,,70,09:00–18:00 · 월 휴관 · 유료,화성 축성 과정과 정조 시대를 다룬 박물관.
수원,팔달문시장,Paldalmun Market,로컬·먹거리,37.2778,127.0166,,,60,09:00–21:00 · 점포별 상이,팔달문 앞 재래시장 군락. 통닭거리가 이어진다.
수원,월화원,Wolhwawon,힐링·생태,37.2846,127.0568,,,40,09:00–22:00 · 무료,광둥식 정원을 그대로 옮겨 지은 중국 정원.
수원,수원 스타필드,Starfield Suwon,로컬·먹거리,37.2723,126.9987,,,90,10:00–22:00,별마당 도서관과 식당가가 있는 복합몰.
수원,광교 갤러리아,Galleria Gwanggyo,테마파크·액티비티,37.2874,127.053,,,60,10:30–20:00,OMA가 설계한 백화점. 유리 띠가 건물을 감는다.
정선,정선 5일장,Jeongseon Five-day Market,로컬·먹거리,37.3805,128.6606,,,80,매월 2·7일 장 · 09:00–17:00,끝자리 2·7일에 서는 장. 곤드레밥과 메밀전병을 판다.
정선,화암동굴,Hwaam Cave,힐링·생태,37.3232,128.7856,,,90,09:00–16:00 · 유료,금광 갱도를 걸어 들어가는 석회동굴. 모노레일로 오른다.
정선,아우라지,Auraji,힐링·생태,37.472,128.746,,,50,상시 개방 · 무료,송천과 골지천이 만나는 물목. 정선아리랑의 배경이다.
정선,정암사,Jeongamsa Temple,역사·문화,37.201,128.933,,,50,상시 개방 · 무료,자장율사가 세운 절. 수마노탑이 국보로 지정돼 있다.
정선,삼탄아트마인,Samtan Art Mine,테마파크·액티비티,37.2306,128.848,,,90,09:30–18:00 · 월 휴관 · 유료,폐광 시설을 그대로 둔 예술 단지. 갱도와 세탁실이 전시장이다.
정선,레일바이크 (구절리~아우라지),Jeongseon Rail Bike,테마파크·액티비티,37.48,128.715,,,90,운행 시간대별 · 유료 · 예약 권장,폐선 철길 7.2km를 내려가는 레일바이크.
충주,중앙탑공원,Jungangtap Park,역사·문화,37.0163,127.8656,,,60,상시 개방 · 무료,통일신라 7층 석탑이 선 강변 공원. 탄금호와 이어진다.
충주,충주 고구려비 전시관,Chungju Goguryeo Stele Museum,역사·문화,37.053,127.924,,,50,09:00–18:00 · 월 휴관 · 무료,남한에 하나뿐인 고구려비를 보관한 전시관.
충주,충주호 유람선 (충주나루),Chungjuho Cruise,테마파크·액티비티,36.997,128.051,,,90,운항 시간대별 · 유료,충주호를 도는 유람선. 월악산 자락을 물 위에서 본다.
충주,미륵대원지,Mireuksaji Temple Site,역사·문화,36.828,128.013,,,50,상시 개방 · 무료,하늘재 아래 고려 절터. 석굴 형식의 미륵불이 서 있다.
