화면,도시,시군,순번,id,장소명,장소명(영문),분류코드,분류,위도,경도,권장체류(분),체류표기,운영시간(원문),개장(파싱),폐장(파싱),운영시간적용,영상장소,확장장소,한국관광100선,유네스코,무장애,자동코스후보,좌표근거
seoul,서울,서울,·,kdx12,반포한강공원 달빛무지개분수,Banpo Moonlight Rainbow Fountain,heal,힐링·생태·체험,37.5106,126.9955,60,1h,분수 4–10월 야간 20:00·20:30·21:00,,,N,N,Y,N,N,N,Y,서초구 신반포로11길 40 주소 기반 좌표
seoul,서울,서울,·,kdx13,덕수궁 돌담길,Deoksugung Doldam-gil,herit,역사·문화유산,37.5658,126.9751,60,1h,"궁 09:00–21:00 · 어른 1,000원 · 돌담길 상시",09:00,21:00,Y,N,Y,N,N,N,Y,중구 세종대로 99 주소 기반 좌표
seoul,서울,서울,·,kdx14,종묘,Jongmyo Shrine,herit,역사·문화유산,37.5747,126.9944,80,1h 20m,"09:00–18:00 · 화요일 휴무 · 시간제 관람 · 어른 1,000원",09:00,18:00,Y,N,Y,N,Y,N,Y,종로구 종로 157 주소 기반 좌표
seoul,서울,서울,·,kdx15,운현궁,Unhyeongung,herit,역사·문화유산,37.5747,126.9857,50,50m,09:00–18:00 · 월요일 휴무 · 무료,09:00,18:00,Y,N,Y,N,N,N,Y,종로구 삼일대로 464 주소 기반 좌표
seoul,서울,서울,·,kdx16,동대문디자인플라자,Dongdaemun Design Plaza,activity,테마파크·액티비티,37.5665,127.0092,80,1h 20m,10:00–20:00 · 외부 상시,10:00,20:00,Y,N,Y,N,N,N,Y,중구 을지로 281 주소 기반 좌표
seoul,서울,서울,·,kdx17,광장시장,Gwangjang Market,food,로컬상권·먹거리,37.5701,126.9997,70,1h 10m,09:00–23:00 · 점포별 상이,09:00,23:00,Y,N,Y,N,N,N,Y,종로구 창경궁로 88 주소 기반 좌표
seoul,서울,서울,·,kdx18,청계천,Cheonggyecheon,heal,힐링·생태·체험,37.5696,126.9784,60,1h,상시 개방 · 무료,,,N,N,Y,Y,N,N,Y,종로구 청계천로 주소 기반 좌표
seoul,서울,서울,·,kdx19,서울로7017,Seoullo 7017,heal,힐링·생태·체험,37.5561,126.9723,50,50m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,중구 청파로 432 주소 기반 좌표
seoul,서울,서울,·,kdx20,남대문시장,Namdaemun Market,food,로컬상권·먹거리,37.5591,126.9773,70,1h 10m,08:30–18:00 · 일부 야간,08:30,18:00,Y,N,Y,N,N,N,Y,중구 남대문시장4길 21 주소 기반 좌표
seoul,서울,서울,·,kdx21,경리단길,Gyeongnidan-gil,food,로컬상권·먹거리,37.5405,126.9895,80,1h 20m,상점 12:00–24:00,12:00,00:00,Y,N,Y,N,N,N,Y,용산구 회나무로 주소 기반 좌표
seoul,서울,서울,·,kdx22,홍대거리,Hongdae Street,food,로컬상권·먹거리,37.5556,126.9236,90,1h 30m,상시 · 버스킹 저녁,,,N,N,Y,Y,N,N,Y,마포구 어울마당로 주소 기반 좌표
seoul,서울,서울,·,kdx23,연남동 경의선숲길,Yeonnam Gyeongui Line Park,heal,힐링·생태·체험,37.5606,126.9256,70,1h 10m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,마포구 연남동 주소 기반 좌표
seoul,서울,서울,·,kdx24,여의도 한강공원,Yeouido Hangang Park,heal,힐링·생태·체험,37.5285,126.9337,80,1h 20m,상시 개방 · 무료,,,N,N,Y,Y,N,N,Y,영등포구 여의동로 330 주소 기반 좌표
seoul,서울,서울,·,kdx25,노들섬,Nodeul Island,activity,테마파크·액티비티,37.5176,126.9583,60,1h,10:00–22:00 · 무료,10:00,22:00,Y,N,Y,N,N,N,Y,용산구 양녕로 445 주소 기반 좌표
seoul,서울,서울,·,kdx26,서울숲,Seoul Forest,heal,힐링·생태·체험,37.5444,127.0374,90,1h 30m,상시 개방 · 무료,,,N,N,Y,Y,N,N,Y,성동구 뚝섬로 273 주소 기반 좌표
seoul,서울,서울,·,kdx27,건대입구 거리,Konkuk Univ. Stn. Street,food,로컬상권·먹거리,37.5405,127.07,90,1h 30m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,광진구 능동로 지하철 건대입구역 일대 주소 기반 좌표
seoul,서울,서울,·,kdx28,서울어린이대공원,Seoul Children's Grand Park,heal,힐링·생태·체험,37.5495,127.0815,90,1h 30m,05:00–22:00 · 무료,05:00,22:00,Y,N,Y,N,N,N,Y,광진구 능동로 216 주소 기반 좌표
seoul,서울,서울,·,kdx29,석촌호수,Seokchon Lake,heal,힐링·생태·체험,37.5088,127.1024,60,1h,상시 개방 · 무료,,,N,N,Y,Y,N,N,Y,송파구 삼학사로 136 주소 기반 좌표
seoul,서울,서울,·,kdx30,올림픽공원,Olympic Park,heal,힐링·생태·체험,37.5202,127.1215,90,1h 30m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,송파구 올림픽로 424 주소 기반 좌표
seoul,서울,서울,·,kdx31,가로수길,Garosu-gil,food,로컬상권·먹거리,37.5209,127.0227,70,1h 10m,상점 11:00–22:00,11:00,22:00,Y,N,Y,N,N,N,Y,강남구 신사동 주소 기반 좌표
seoul,서울,서울,·,kdx32,봉은사,Bongeunsa Temple,herit,역사·문화유산,37.5148,127.0577,60,1h,05:00–22:00 · 무료 · 02-3218-4800,05:00,22:00,Y,N,Y,N,N,N,Y,강남구 봉은사로 531 주소 기반 좌표
seoul,서울,서울,·,kdx33,선릉·정릉,Seonjeongneung,herit,역사·문화유산,37.5089,127.0492,60,1h,"06:00–21:00 · 어른 1,000원",06:00,21:00,Y,N,Y,N,Y,N,Y,강남구 선릉로100길 1 주소 기반 좌표
seoul,서울,서울,·,kdx34,국립민속박물관,National Folk Museum,herit,역사·문화유산,37.5814,126.9793,80,1h 20m,09:00–18:00 · 무료 · 02-3704-3114,09:00,18:00,Y,N,Y,N,N,N,Y,종로구 삼청로 37 주소 기반 좌표
seoul,서울,서울,·,kdx35,북악스카이웨이 팔각정,Bugaksan Skyway Pavilion,heal,힐링·생태·체험,37.6013,126.9814,50,50m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,종로구 북악산로 267 주소 기반 좌표
seoul,서울,서울,·,kdx36,통인시장,Tongin Market,food,로컬상권·먹거리,37.5808,126.9704,50,50m,07:00–18:00 · 일부 월요일 휴무,07:00,18:00,Y,N,Y,N,N,N,Y,종로구 자하문로15길 18 주소 기반 좌표
seoul,서울,서울,·,kdx37,서촌,Seochon,food,로컬상권·먹거리,37.5789,126.9711,70,1h 10m,상점 11:00–21:00,11:00,21:00,Y,N,Y,Y,N,N,Y,종로구 필운대로 주소 기반 좌표
seoul,서울,서울,·,kdx38,국립현대미술관 서울,MMCA Seoul,activity,테마파크·액티비티,37.5785,126.98,90,1h 30m,10:00–18:00 · 수·토 21:00 · 02-3701-9500,10:00,18:00,Y,N,Y,N,N,N,Y,종로구 삼청로 30 주소 기반 좌표
seoul,서울,서울,·,kdx39,노량진 수산시장,Noryangjin Fish Market,food,로컬상권·먹거리,37.5138,126.9542,70,1h 10m,24시간 · 경매 새벽,,,N,N,Y,N,N,N,Y,동작구 노들로 674 주소 기반 좌표
seoul,서울,서울,·,kdx40,하늘공원,Haneul Park,heal,힐링·생태·체험,37.5701,126.8827,80,1h 20m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,마포구 하늘공원로 95 주소 기반 좌표
seoul,서울,서울,·,kdx41,선유도공원,Seonyudo Park,heal,힐링·생태·체험,37.5443,126.8998,70,1h 10m,06:00–24:00 · 무료,06:00,00:00,Y,N,Y,N,N,N,Y,영등포구 선유로 343 주소 기반 좌표
seoul,서울,서울,·,kdx42,서울식물원,Seoul Botanic Park,heal,힐링·생태·체험,37.5695,126.8348,110,1h 50m,09:30–18:00 · 온실 유료 · 월 휴관,09:30,18:00,Y,N,Y,N,N,N,Y,강서구 마곡동로 161 주소 기반 좌표
seoul,서울,서울,·,kdx43,예술의전당,Seoul Arts Center,activity,테마파크·액티비티,37.4797,127.0114,120,2h,공연·전시 일정별 상이,,,N,N,Y,N,N,N,Y,서초구 남부순환로 2406 주소 기반 좌표
seoul,서울,서울,·,kdx44,몽촌토성,Mongchontoseong Fortress,herit,역사·문화유산,37.5175,127.1145,80,1h 20m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,송파구 올림픽로 424 올림픽공원 내 좌표
seoul,서울,서울,·,kdx45,올림픽홀,Olympic Hall,activity,테마파크·액티비티,37.5211,127.116,60,1h,공연 일정별 상이,,,N,N,Y,N,N,N,Y,송파구 올림픽로 424 올림픽공원 내 좌표
seoul,서울,서울,·,kdx46,창경궁,Changgyeonggung Palace,herit,역사·문화유산,37.5785,126.995,80,1h 20m,09:00–21:00 · 월 휴궁 · 유료,09:00,21:00,Y,N,Y,N,N,N,Y,종로구 창경궁로 185 주소 기반 좌표
seoul,서울,서울,·,kdx47,인사동 문화의거리,Insa-dong Culture Street,food,로컬상권·먹거리,37.573,126.9855,90,1h 30m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,종로구 인사동길 주소 기반 좌표
seoul,서울,서울,·,kdx48,서대문형무소역사관,Seodaemun Prison History Hall,herit,역사·문화유산,37.5745,126.956,90,1h 30m,09:30–18:00 · 월 휴관 · 유료,09:30,18:00,Y,N,Y,N,N,N,Y,서대문구 통일로 251 주소 기반 좌표
seoul,서울,서울,·,kdx49,독립문,Dongnimmun Gate,herit,역사·문화유산,37.5725,126.9592,30,30m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,서대문구 통일로 251 독립공원 내 좌표
seoul,서울,서울,·,kdx50,경희궁,Gyeonghuigung Palace,herit,역사·문화유산,37.5719,126.969,50,50m,09:00–18:00 · 월 휴궁 · 무료,09:00,18:00,Y,N,Y,N,N,N,Y,종로구 새문안로 45 주소 기반 좌표
seoul,서울,서울,·,kdx51,리움미술관,Leeum Museum of Art,activity,테마파크·액티비티,37.5384,126.999,110,1h 50m,10:00–18:00 · 월 휴관 · 상설 무료,10:00,18:00,Y,N,Y,N,N,N,Y,용산구 이태원로55길 60-16 주소 기반 좌표
seoul,서울,서울,·,kdx52,이태원 거리,Itaewon Street,food,로컬상권·먹거리,37.5345,126.9946,90,1h 30m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,용산구 이태원로 주소 기반 좌표
seoul,서울,서울,·,kdx53,혜화동 대학로,"Daehangno, Hyehwa-dong",activity,테마파크·액티비티,37.5822,127.002,100,1h 40m,공연 일정별 상이,,,N,N,Y,N,N,N,Y,종로구 대학로 주소 기반 좌표
seoul,서울,서울,·,kdx54,서울시립미술관,Seoul Museum of Art,activity,테마파크·액티비티,37.564,126.9738,80,1h 20m,10:00–20:00 · 월 휴관 · 무료,10:00,20:00,Y,N,Y,N,N,N,Y,중구 덕수궁길 61 주소 기반 좌표
seoul,서울,서울,·,kdx55,세종문화회관,Sejong Center,activity,테마파크·액티비티,37.5725,126.9758,70,1h 10m,공연 일정별 상이,,,N,N,Y,N,N,N,Y,종로구 세종대로 175 주소 기반 좌표
seoul,서울,서울,·,kdx56,국립고궁박물관,National Palace Museum,herit,역사·문화유산,37.5765,126.974,80,1h 20m,10:00–18:00 · 무료,10:00,18:00,Y,N,Y,N,N,N,Y,종로구 효자로 12 주소 기반 좌표
seoul,서울,서울,·,kdx57,남산골 한옥마을,Namsangol Hanok Village,herit,역사·문화유산,37.5592,126.994,70,1h 10m,09:00–21:00 · 화 휴관 · 무료,09:00,21:00,Y,N,Y,N,N,N,Y,중구 퇴계로34길 28 주소 기반 좌표
seoul,서울,서울,·,kdx58,국립극장,National Theater of Korea,activity,테마파크·액티비티,37.5522,127.0053,80,1h 20m,공연 일정별 상이,,,N,N,Y,N,N,N,Y,중구 장충단로 59 주소 기반 좌표
seoul,서울,서울,·,kdx59,국회의사당,National Assembly Building,herit,역사·문화유산,37.532,126.9143,60,1h,평일 관람 · 사전 신청 · 무료,,,N,N,Y,N,N,N,Y,영등포구 의사당대로 1 주소 기반 좌표
seoul,서울,서울,·,kdx60,여의도공원,Yeouido Park,heal,힐링·생태·체험,37.5262,126.9243,60,1h,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,영등포구 여의공원로 68 주소 기반 좌표
seoul,서울,서울,·,kdx61,63빌딩,63 Building,activity,테마파크·액티비티,37.5197,126.9403,80,1h 20m,10:00–22:00 · 전망대 유료,10:00,22:00,Y,N,Y,N,N,N,Y,영등포구 63로 50 주소 기반 좌표
seoul,서울,서울,·,kdx62,신촌 대학가,Sinchon University Area,food,로컬상권·먹거리,37.5559,126.9368,90,1h 30m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,서대문구 신촌로 주소 기반 좌표
seoul,서울,서울,·,kdx63,합정동 상권,Hapjeong-dong Area,food,로컬상권·먹거리,37.5495,126.9139,80,1h 20m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,마포구 양화로 합정역 일대 주소 기반 좌표
seoul,서울,서울,·,kdx64,망원시장,Mangwon Market,food,로컬상권·먹거리,37.556,126.903,60,1h,09:00–21:00 · 점포별 상이,09:00,21:00,Y,N,Y,N,N,N,Y,마포구 포은로8길 14 주소 기반 좌표
seoul,서울,서울,·,kdx65,조계사,Jogyesa Temple,herit,역사·문화유산,37.5744,126.9814,40,40m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,종로구 우정국로 55 주소 기반 좌표
seoul,서울,서울,·,kdx66,명동대성당,Myeongdong Cathedral,herit,역사·문화유산,37.5633,126.9873,40,40m,09:00–21:00 · 미사 중 관람 제한,09:00,21:00,Y,N,Y,N,N,N,Y,중구 명동길 74 주소 기반 좌표
seoul,서울,서울,·,kdx67,서울광장,Seoul Plaza,activity,테마파크·액티비티,37.5658,126.9784,30,30m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,중구 세종대로 110 주소 기반 좌표
seoul,서울,서울,·,kdx68,서울역사박물관,Seoul Museum of History,herit,역사·문화유산,37.5704,126.9694,80,1h 20m,09:00–18:00 · 월 휴관 · 무료,09:00,18:00,Y,N,Y,N,N,N,Y,종로구 새문안로 55 주소 기반 좌표
seoul,서울,서울,·,kdx69,압구정 로데오거리,Apgujeong Rodeo Street,food,로컬상권·먹거리,37.5271,127.0392,80,1h 20m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,강남구 압구정로 로데오역 일대 주소 기반 좌표
seoul,서울,서울,·,kdx70,K-스타로드,K-Star Road,activity,테마파크·액티비티,37.5254,127.0357,50,50m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,강남구 압구정로 apgujeong~청담 구간 주소 기반 좌표
seoul,서울,서울,·,kdx71,강남역 일대,Gangnam Station Area,food,로컬상권·먹거리,37.4979,127.0276,90,1h 30m,상시 · 상점별 상이,,,N,N,Y,N,N,N,Y,강남구 강남대로 강남역 일대 주소 기반 좌표
seoul,서울,서울,·,kdx72,가락시장,Garak Market,food,로컬상권·먹거리,37.493,127.118,70,1h 10m,경매 새벽 · 점포별 상이,,,N,N,Y,N,N,N,Y,송파구 양재대로 932 주소 기반 좌표
seoul,서울,서울,·,kdx73,암사동 유적,Amsa-dong Prehistoric Site,herit,역사·문화유산,37.552,127.1289,70,1h 10m,09:30–18:00 · 월 휴관 · 유료,09:30,18:00,Y,N,Y,N,N,N,Y,강동구 올림픽로 875 주소 기반 좌표
seoul,서울,서울,·,kdx74,국립서울현충원,Seoul National Cemetery,herit,역사·문화유산,37.4998,126.974,80,1h 20m,06:00–18:00 · 무료,06:00,18:00,Y,N,Y,N,N,N,Y,동작구 현충로 210 주소 기반 좌표
seoul,서울,서울,·,kdx75,월드컵공원,World Cup Park,heal,힐링·생태·체험,37.5663,126.8976,110,1h 50m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,마포구 월드컵로 243-60 주소 기반 좌표
seoul,서울,서울,·,kdx76,경동시장,Gyeongdong Market,food,로컬상권·먹거리,37.58,127.0396,70,1h 10m,09:00–19:00 · 점포별 상이 · 일 휴무 많음,09:00,19:00,Y,N,Y,N,N,N,Y,동대문구 고산자로36길 3 주소 기반 좌표
busan,부산,부산,1,bc1,감천문화마을,Gamcheon Culture Village,herit,역사·문화유산,35.0975,129.0107,110,1h 50m,09:00–18:00 · 무료 · 051-204-1444,09:00,18:00,Y,Y,N,N,N,N,Y,사하구 감내2로 203 주소 기반 좌표
busan,부산,부산,2,bc2,자갈치시장,Jagalchi Market,food,로컬상권·먹거리,35.0966,129.0306,90,1h 30m,05:00–22:00 · 둘째·넷째 화요일 휴무,05:00,22:00,Y,Y,N,N,N,N,Y,중구 자갈치해안로 52 주소 기반 좌표
busan,부산,부산,3,bc3,해운대해수욕장,Haeundae Beach,heal,힐링·생태·체험,35.1587,129.1604,90,1h 30m,상시 개방 · 7–8월 개장 · 051-749-7621,,,N,Y,N,N,N,N,Y,해운대구 우동 해운대해변로 주소 기반 좌표
busan,부산,부산,4,bc4,광안리해변 · 광안대교,Gwangalli Beach & Diamond Bridge,heal,힐링·생태·체험,35.1531,129.1187,80,1h 20m,상시 개방 · 다리 조명 일몰–24:00,,,N,Y,N,N,N,N,Y,수영구 광안해변로 주소 기반 좌표
busan,부산,부산,5,bc5,부산 국제시장,Gukje Market,food,로컬상권·먹거리,35.1013,129.0288,80,1h 20m,09:00–20:00 · 첫째·셋째 일요일 휴무,09:00,20:00,Y,Y,N,N,N,N,Y,중구 신창동4가 국제시장 주소 기반 좌표
busan,부산,부산,6,bc6,흰여울문화마을,Huinnyeoul Culture Village,heal,힐링·생태·체험,35.0783,129.043,70,1h 10m,상시 개방 · 무료 · 주민 거주 구역,,,N,Y,N,N,N,N,Y,영도구 영선동4가 흰여울길 주소 기반 좌표
busan,부산,부산,7,bc7,영도대교,Yeongdo Bridge,herit,역사·문화유산,35.0977,129.0356,50,50m,도개 매일 14:00 (약 15분),,,N,Y,N,N,N,N,Y,중구 중앙동7가 주소 기반 좌표
busan,부산,부산,8,bc8,부산영화체험박물관,Busan Museum of Movies,activity,테마파크·액티비티,35.1017,129.0338,90,1h 30m,"10:00–18:00 · 월요일 휴관 · 어른 10,000원 · 051-715-4200",10:00,18:00,Y,Y,N,N,N,N,Y,중구 대청로126번길 12 주소 기반 좌표
busan,부산,부산,9,bc9,영화의전당,Busan Cinema Center,activity,테마파크·액티비티,35.1712,129.1289,80,1h 20m,상영 시간별 · 야외극장 계절 운영 · 051-780-6000,,,N,Y,N,N,N,N,Y,해운대구 수영강변대로 120 주소 기반 좌표
busan,부산,부산,10,bc10,부산 BIFF 광장,BIFF Square,food,로컬상권·먹거리,35.0988,129.027,60,1h,상시 · 상점 11:00–22:00,11:00,22:00,Y,Y,N,N,N,N,Y,중구 비프광장로 주소 기반 좌표
busan,부산,부산,11,bc11,청사포 · 미포 철길,Cheongsapo & Mipo Rail Path,heal,힐링·생태·체험,35.1608,129.1897,90,1h 30m,해변열차 09:30–18:30 · 구간별 요금 상이,09:30,18:30,Y,Y,N,N,N,N,Y,해운대구 청사포로 주소 기반 좌표
busan,부산,부산,12,bc12,태종대,Taejongdae,heal,힐링·생태·체험,35.0533,129.087,110,1h 50m,04:00–24:00 · 무료 · 다누비열차 유료,04:00,00:00,Y,Y,N,N,N,N,Y,영도구 전망로 24 주소 기반 좌표
busan,부산,부산,·,bcx1,송도해수욕장 · 케이블카,Songdo Beach & Cable Car,heal,힐링·생태·체험,35.0759,129.017,90,1h 30m,"케이블카 09:00–21:00 · 왕복 15,000원",09:00,21:00,Y,N,Y,N,N,N,Y,서구 송도해변로 주소 기반 좌표
busan,부산,부산,·,bcx2,송도용궁구름다리,Songdo Yonggung Suspension Bridge,heal,힐링·생태·체험,35.0619,129.02221,50,50m,"09:00–18:00 · 어른 1,000원",09:00,18:00,Y,N,Y,N,N,N,Y,서구 암남동 620-53 구글 지오코딩
busan,부산,부산,·,bcx3,신선대 전망대,Sinseondae Lookout,heal,힐링·생태·체험,35.10044,129.09995,50,50m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,남구 용호동 산252-1 구글 지오코딩
busan,부산,부산,·,bcx4,오륙도 스카이워크,Oryukdo Skywalk,heal,힐링·생태·체험,35.0977,129.1237,60,1h,09:00–18:00 · 기상 시 통제 · 무료,09:00,18:00,Y,N,Y,N,N,N,Y,남구 오륙도로 137 주소 기반 좌표
busan,부산,부산,·,bcx5,이기대 전망대,Igidae Lookout,heal,힐링·생태·체험,35.11807,129.12785,120,2h,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,남구 용호동 산129-1 구글 지오코딩
busan,부산,부산,·,bcx6,흥국사·황령산 전망대,Hwangnyeongsan Lookout,heal,힐링·생태·체험,35.1571,129.08208,60,1h,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,남구 대연동 산50-1 (황령산) 구글 지오코딩
busan,부산,부산,·,bcx7,부산시민공원,Busan Citizens Park,heal,힐링·생태·체험,35.1689,129.0596,90,1h 30m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,부산진구 시민공원로 73 주소 기반 좌표
busan,부산,부산,·,bcx8,부산현대미술관,Museum of Contemporary Art Busan,activity,테마파크·액티비티,35.109,128.943,90,1h 30m,10:00–18:00 · 월요일 휴관 · 무료,10:00,18:00,Y,N,Y,N,N,N,Y,사하구 낙동남로 1191 주소 기반 좌표
busan,부산,부산,·,bcx9,을숙도 철새도래지,Eulsukdo Migratory Bird Sanctuary,heal,힐링·생태·체험,35.108,128.9455,80,1h 20m,09:00–18:00 · 월요일 휴관 · 무료,09:00,18:00,Y,N,Y,N,N,N,Y,사하구 낙동남로 1240 주소 기반 좌표
